goos: darwin
goarch: arm64
pkg: reporting-db-migrations/internal/fs
cpu: Apple M2
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  526286	       412.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  547981	       410.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  563842	       420.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  477278	       496.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  504183	       442.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  565759	       401.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  581166	       401.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  584830	       401.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  575740	       403.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withScanHint-8         	  572120	       401.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   70440	      3396 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   70370	      3364 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   68354	      3428 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   71011	      3368 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   70442	      3385 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   69970	      3375 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   70152	      3375 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   71038	      3388 ns/op	     784 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   70777	      3374 ns/op	     785 B/op	       3 allocs/op
BenchmarkObjectChecksumSharedBytesAfterScan/withoutScanHint-8      	   70591	      3383 ns/op	     785 B/op	       3 allocs/op
PASS
ok  	reporting-db-migrations/internal/fs	5.508s
